deprivation_band,area_count,avg_dna_rate_pct,min_dna_rate_pct,max_dna_rate_pct
3-4,20,11.24,4.78,16.93
5-6 (Mid),43,8.1,0.0,14.67
7-8,32,8.83,0.0,32.84
9-10 (Least Deprived),1,17.35,17.35,17.35
